timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-20T15:10:25.453098,3,3,0,0,0,staging
2026-02-20T15:10:30.454613,3,3,0,0,0,staging
2026-02-20T15:10:35.456168,3,3,0,0,0,staging
2026-02-20T15:10:40.458374,3,3,0,0,0,staging
2026-02-20T15:10:45.460531,3,3,0,0,0,staging
2026-02-20T15:10:47.043261,3,3,0,0,0,staging
2026-02-20T15:10:50.462312,3,3,0,0,0,staging
2026-02-20T15:10:52.044713,3,3,0,0,0,staging
2026-02-20T15:10:55.466557,3,3,0,0,0,staging
2026-02-20T15:10:57.047836,3,3,0,0,0,staging
2026-02-20T15:11:00.468883,3,3,0,0,0,staging
2026-02-20T15:11:02.049753,3,3,0,0,0,staging
2026-02-20T15:11:05.473639,3,3,0,0,0,staging
2026-02-20T15:11:07.052512,3,3,0,0,0,staging
2026-02-20T15:11:10.474682,3,3,0,0,0,staging
2026-02-20T15:11:12.055118,3,3,0,0,0,staging
2026-02-20T15:11:15.476978,3,3,0,0,0,staging
2026-02-20T15:11:17.057560,3,3,0,0,0,staging
2026-02-20T15:11:20.478522,3,3,0,0,0,staging
2026-02-20T15:11:22.060298,3,3,0,0,0,staging
2026-02-20T15:11:25.481318,3,3,0,0,0,staging
2026-02-20T15:11:27.062003,3,3,0,0,0,staging
2026-02-20T15:11:30.483424,3,3,0,0,0,staging
2026-02-20T15:11:32.064444,3,3,0,0,0,staging
2026-02-20T15:11:35.485672,3,3,0,0,0,staging
2026-02-20T15:11:37.065728,3,3,0,0,0,staging
2026-02-20T15:11:40.487353,3,3,0,0,0,staging
2026-02-20T15:11:42.066954,3,3,0,0,0,staging
2026-02-20T15:11:45.489414,3,3,0,0,0,staging
2026-02-20T15:11:47.068103,3,3,0,0,0,staging
2026-02-20T15:11:50.491559,3,3,0,0,0,staging
2026-02-20T15:11:52.070093,3,3,0,0,0,staging
2026-02-20T15:11:55.493751,3,3,0,0,0,staging
2026-02-20T15:11:57.071834,3,3,0,0,0,staging
2026-02-20T15:12:00.496096,3,3,0,0,0,staging
