timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-14T17:05:37.385755,3,3,0,0,0,stage
2026-02-14T17:05:42.387507,3,3,0,0,0,stage
2026-02-14T17:05:47.388915,3,3,0,0,0,stage
2026-02-14T17:05:50.883026,3,3,0,0,0,stage
2026-02-14T17:05:52.391389,3,3,0,0,0,stage
2026-02-14T17:05:55.885055,3,3,0,0,0,stage
2026-02-14T17:05:57.392827,3,3,0,0,0,stage
2026-02-14T17:06:00.887441,3,3,0,0,0,stage
2026-02-14T17:06:02.396464,3,3,0,0,0,stage
2026-02-14T17:06:05.889427,3,3,0,0,0,stage
2026-02-14T17:06:07.400257,3,3,0,0,0,stage
2026-02-14T17:06:10.890876,3,3,0,0,0,stage
2026-02-14T17:06:12.402563,3,3,0,0,0,stage
2026-02-14T17:06:15.894483,3,3,0,0,0,stage
2026-02-14T17:06:17.405472,3,3,0,0,0,stage
2026-02-14T17:06:20.897399,3,3,0,0,0,stage
2026-02-14T17:06:22.408932,3,3,0,0,0,stage
2026-02-14T17:06:25.899255,3,3,0,0,0,stage
2026-02-14T17:06:27.411318,3,3,0,0,0,stage
2026-02-14T17:06:30.902650,3,3,0,0,0,stage
2026-02-14T17:06:32.414186,3,3,0,0,0,stage
2026-02-14T17:06:35.906140,3,3,0,0,0,stage
2026-02-14T17:06:37.417415,3,3,0,0,0,stage
2026-02-14T17:06:40.909055,3,3,0,0,0,stage
2026-02-14T17:06:42.419965,3,3,0,0,0,stage
2026-02-14T17:06:45.911466,3,3,0,0,0,stage
2026-02-14T17:06:47.422459,3,3,0,0,0,stage
2026-02-14T17:06:50.913828,3,3,0,0,0,stage
2026-02-14T17:06:52.425613,3,3,0,0,0,stage
2026-02-14T17:06:55.916818,3,3,0,0,0,stage
2026-02-14T17:06:57.428052,3,3,0,0,0,stage
2026-02-14T17:07:00.919381,3,3,0,0,0,stage
2026-02-14T17:07:02.430061,3,3,0,0,0,stage
2026-02-14T17:07:05.922873,3,3,0,0,0,stage
2026-02-14T17:07:07.431984,3,3,0,0,0,stage
2026-02-14T17:07:10.924652,3,3,0,0,0,stage
2026-02-14T17:07:12.434177,3,3,0,0,0,stage
2026-02-14T17:07:15.926574,3,3,0,0,0,stage
2026-02-14T17:07:17.436230,3,3,0,0,0,stage
2026-02-14T17:07:20.928677,3,3,0,0,0,stage
2026-02-14T17:07:22.439534,3,3,0,0,0,stage
2026-02-14T17:07:25.930754,3,3,0,0,0,stage
2026-02-14T17:07:27.442340,3,3,0,0,0,stage
2026-02-14T17:07:30.933387,3,3,0,0,0,stage
2026-02-14T17:07:32.445105,3,3,0,0,0,stage
2026-02-14T17:07:35.937023,3,3,0,0,0,stage
2026-02-14T17:07:37.449120,3,3,0,0,0,stage
2026-02-14T17:07:40.939309,3,3,0,0,0,stage
2026-02-14T17:07:42.451420,3,3,0,0,0,stage
2026-02-14T17:07:45.941805,3,3,0,0,0,stage
2026-02-14T17:07:47.454616,3,3,0,0,0,stage
2026-02-14T17:07:50.943675,3,3,0,0,0,stage
