timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-20T15:11:20.770967,3,3,0,0,0,prod
2026-02-20T15:11:25.772517,3,3,0,0,0,prod
2026-02-20T15:11:30.773863,3,3,0,0,0,prod
2026-02-20T15:11:35.775852,3,3,0,0,0,prod
2026-02-20T15:11:40.777398,3,3,0,0,0,prod
2026-02-20T15:11:40.888016,3,3,0,0,0,prod
2026-02-20T15:11:45.779655,3,3,0,0,0,prod
2026-02-20T15:11:45.889279,3,3,0,0,0,prod
2026-02-20T15:11:50.783108,3,3,0,0,0,prod
2026-02-20T15:11:50.891334,3,3,0,0,0,prod
2026-02-20T15:11:55.787535,3,3,0,0,0,prod
2026-02-20T15:11:55.893197,3,3,0,0,0,prod
2026-02-20T15:12:00.789360,3,3,0,0,0,prod
2026-02-20T15:12:00.897309,3,3,0,0,0,prod
2026-02-20T15:12:05.791183,3,3,0,0,0,prod
2026-02-20T15:12:05.899063,3,3,0,0,0,prod
2026-02-20T15:12:10.792455,3,3,0,0,0,prod
2026-02-20T15:12:10.900302,3,3,0,0,0,prod
2026-02-20T15:12:15.793632,3,3,0,0,0,prod
2026-02-20T15:12:15.901560,3,3,0,0,0,prod
2026-02-20T15:12:20.795056,3,3,0,0,0,prod
2026-02-20T15:12:20.902946,3,3,0,0,0,prod
2026-02-20T15:12:25.795928,3,3,0,0,0,prod
2026-02-20T15:12:25.904453,3,3,0,0,0,prod
2026-02-20T15:12:30.796875,3,3,0,0,0,prod
2026-02-20T15:12:30.906790,3,3,0,0,0,prod
2026-02-20T15:12:35.798198,3,3,0,0,0,prod
2026-02-20T15:12:35.908989,3,3,0,0,0,prod
2026-02-20T15:12:40.800513,3,3,0,0,0,prod
2026-02-20T15:12:40.910800,3,3,0,0,0,prod
2026-02-20T15:12:45.801833,3,3,0,0,0,prod
2026-02-20T15:12:45.912016,3,3,0,0,0,prod
2026-02-20T15:12:50.803455,3,3,0,0,0,prod
2026-02-20T15:12:50.913388,3,3,0,0,0,prod
2026-02-20T15:12:55.804923,3,3,0,0,0,prod
2026-02-20T15:12:55.914672,3,3,0,0,0,prod
2026-02-20T15:13:00.807460,3,3,0,0,0,prod
2026-02-20T15:13:00.916527,3,3,0,0,0,prod
2026-02-20T15:13:05.808550,3,3,0,0,0,prod
2026-02-20T15:13:05.917523,3,3,0,0,0,prod
2026-02-20T15:13:10.809730,3,3,0,0,0,prod
2026-02-20T15:13:10.918986,3,3,0,0,0,prod
2026-02-20T15:13:15.811502,3,3,0,0,0,prod
2026-02-20T15:13:15.920477,3,3,0,0,0,prod
2026-02-20T15:13:20.813086,3,3,0,0,0,prod
2026-02-20T15:13:20.921984,3,3,0,0,0,prod
2026-02-20T15:13:25.814615,3,3,0,0,0,prod
